position	wl	slice	min.elapsed	expTcorr_bs_intden	exptime.sec	bs.intden	mean_bg_intden	mean_intden	rb_radius	threshold	area_threshold	cellarea_percent	total_area
A01a	1.00	1.00	0.00	272426.41	0.50	136213.20	491.09	491.19	50.00	MaxEntropy	50.00	0.33	1447680.00
A01a	1.00	2.00	148.00	610601.09	0.50	305300.54	491.32	491.54	50.00	MaxEntropy	50.00	0.51	1447680.00
A01a	1.00	3.00	296.00	1432611.41	0.50	716305.70	490.08	490.57	50.00	MaxEntropy	50.00	0.86	1447680.00
A01a	1.00	4.00	444.00	3286862.89	0.50	1643431.45	489.72	490.86	50.00	MaxEntropy	50.00	1.48	1447680.00
A01a	1.00	5.00	593.00	8914254.07	0.50	4457127.04	488.76	491.84	50.00	MaxEntropy	50.00	2.80	1447680.00
A01a	1.00	6.00	742.00	23139550.56	0.50	11569775.28	488.48	496.47	50.00	MaxEntropy	50.00	5.42	1447680.00
A01a	1.00	7.00	890.00	56039185.59	0.50	28019592.79	490.88	510.24	50.00	MaxEntropy	50.00	10.01	1447680.00
A01a	1.00	8.00	1038.00	120937088.62	0.50	60468544.31	491.55	533.32	50.00	MaxEntropy	50.00	16.99	1447680.00
A01a	1.00	9.00	1187.00	235008004.23	0.50	117504002.11	493.20	574.37	50.00	MaxEntropy	50.00	27.80	1447680.00
A01a	1.00	10.00	1336.00	447747759.64	0.50	223873879.82	495.41	650.05	50.00	MaxEntropy	50.00	47.75	1447680.00
A01a	1.00	11.00	1484.00	983573972.25	0.50	491786986.13	491.05	830.76	50.00	MaxEntropy	50.00	91.84	1447680.00
A01a	1.00	12.00	1633.00	1778979056.25	0.50	889489528.13	491.05	1105.47	50.00	MaxEntropy	50.00	100.00	1447680.00
A01a	1.00	13.00	1782.00	2445063132.25	0.50	1222531566.13	491.05	1335.53	50.00	MaxEntropy	50.00	100.00	1447680.00
A01a	1.00	14.00	1930.00	3060973942.25	0.50	1530486971.13	491.05	1548.25	50.00	MaxEntropy	50.00	100.00	1447680.00
A01a	1.00	15.00	2079.00	3625341760.25	0.50	1812670880.13	491.05	1743.17	50.00	MaxEntropy	50.00	100.00	1447680.00
A01a	1.00	16.00	2228.00	4117862240.25	0.50	2058931120.13	491.05	1913.28	50.00	MaxEntropy	50.00	100.00	1447680.00
A01b	1.00	1.00	0.00	567051.97	0.50	283525.99	606.10	606.29	50.00	MaxEntropy	50.00	0.23	1447680.00
